Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2020,54.7,48.3,24.8,30.0,91.4,79.2,99.9,54.7,61.6,81.0,66.0,10.0,10.0
Albania,2020,66.9,57.1,38.8,33.0,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70.0,70.0
Algeria,2020,46.9,37.9,28.3,35.0,75.4,52.6,17.3,63.0,50.5,76.2,66.2,30.0,30.0
Angola,2020,52.2,36.9,15.1,14.3,87.3,85.7,71.9,57.7,61.1,59.6,66.2,30.0,40.0
Argentina,2020,53.1,50.5,49.7,47.0,69.6,50.7,24.7,60.2,46.5,53.7,69.2,55.0,60.0
Armenia,2020,70.6,60.7,43.4,54.1,84.9,80.6,68.8,81.0,72.5,76.0,80.6,75.0,70.0
Australia,2020,82.6,82.8,89.3,86.1,63.0,61.6,91.8,87.8,84.0,86.2,88.2,80.0,90.0
Austria,2020,73.3,87.3,84.0,73.2,51.3,27.2,87.9,73.0,68.3,81.0,86.4,90.0,70.0
Azerbaijan,2020,69.3,67.1,38.7,53.9,88.0,63.0,99.2,80.8,66.2,69.8,74.6,70.0,60.0
Bahrain,2020,66.3,70.6,51.0,48.4,99.4,66.1,2.6,70.5,71.1,81.1,79.4,75.0,80.0
"Bangladesh ",2020,56.4,41.0,26.6,36.1,72.7,94.3,76.8,52.3,68.4,70.0,63.6,45.0,30.0
Barbados,2020,61.4,56.6,44.0,36.1,73.6,69.2,63.1,69.4,60.0,77.9,56.6,70.0,60.0
Belarus,2020,61.7,63.2,37.4,48.4,88.8,54.1,95.4,76.4,74.8,69.8,82.0,30.0,20.0
Belgium,2020,68.9,84.5,80.2,62.5,46.7,17.2,77.0,75.2,61.1,80.5,86.4,85.0,70.0
Belize,2020,57.4,44.4,33.5,46.4,79.5,66.3,53.9,60.9,54.3,80.4,64.2,55.0,50.0
Benin,2020,55.2,41.3,29.6,36.4,69.0,84.2,46.6,58.0,53.7,84.3,49.4,60.0,50.0
Bhutan,2020,62.1,69.9,51.2,46.4,82.9,71.1,74.8,68.2,79.4,71.6,79.4,20.0,30.0
Bolivia,2020,42.8,20.1,23.1,11.2,86.3,54.2,14.2,58.3,52.9,69.9,67.8,15.0,40.0
Bosnia and Herzegovina,2020,62.6,44.4,41.8,33.9,83.6,49.3,97.3,45.7,67.4,82.7,80.0,65.0,60.0
Botswana,2020,69.6,60.9,46.4,45.2,87.0,69.1,97.5,69.3,68.2,73.6,82.8,65.0,70.0
Brazil,2020,53.7,57.3,45.6,46.7,70.4,54.6,4.6,60.5,49.5,77.2,67.8,60.0,50.0
Brunei Darussalam,2020,66.6,69.8,49.6,56.8,89.8,61.5,20.0,84.1,90.5,77.1,85.0,65.0,50.0
Bulgaria,2020,70.2,64.2,44.2,45.4,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70.0,60.0
Burkina Faso,2020,56.7,46.9,34.1,42.6,81.3,77.0,49.2,47.6,52.1,82.4,61.8,65.0,40.0
Burma,2020,54.0,32.5,31.5,14.3,86.6,87.5,84.6,53.1,59.9,77.5,70.8,30.0,20.0
Burundi,2020,49.0,24.9,22.3,26.9,73.7,85.8,13.2,55.1,67.4,70.3,68.2,50.0,30.0
Cabo Verde,2020,63.6,47.5,46.1,48.0,77.7,71.7,66.2,58.5,55.6,83.1,68.2,80.0,60.0
Cambodia,2020,57.3,43.1,14.8,28.1,89.4,83.9,94.8,31.2,62.5,74.8,65.4,50.0,50.0
Cameroon,2020,53.6,45.3,20.8,30.8,74.8,88.3,63.7,46.0,50.1,84.1,59.6,30.0,50.0
Canada,2020,78.2,87.7,90.3,72.7,76.5,50.9,83.3,81.7,72.0,76.0,87.0,80.0,80.0
Central African Republic,2020,50.7,38.1,24.3,31.7,65.5,93.5,95.3,24.3,40.4,73.3,47.2,45.0,30.0
Chad,2020,50.2,32.4,15.1,27.4,45.8,93.5,95.6,26.8,43.0,76.1,47.2,60.0,40.0
Chile,2020,76.8,69.9,73.4,61.1,76.4,80.8,90.5,75.0,64.7,85.2,89.0,85.0,70.0
China,2020,59.5,60.9,46.0,76.3,70.4,67.9,67.5,76.8,64.4,71.1,72.4,20.0,20.0
Colombia,2020,69.2,61.1,46.1,32.8,70.4,77.0,85.5,71.3,78.0,77.5,81.2,80.0,70.0
Comoros,2020,53.7,43.1,23.8,31.7,63.6,73.6,85.0,47.8,60.3,81.7,59.2,45.0,30.0
Costa Rica,2020,65.8,66.7,57.2,54.4,78.9,88.4,39.7,66.5,55.0,81.2,81.4,70.0,50.0
Côte d'Ivoire,2020,59.7,48.5,25.5,33.0,77.8,82.5,66.9,62.3,49.2,75.7,69.4,75.0,50.0
Croatia,2020,62.2,69.9,51.0,39.6,65.9,34.7,89.1,53.6,44.0,77.6,86.4,75.0,60.0
Cuba,2020,26.9,20.1,38.7,10.0,49.5,0.0,14.8,20.0,20.0,64.1,65.6,10.0,10.0
Cyprus,2020,70.1,77.4,57.6,50.5,74.8,58.6,80.0,76.6,59.7,84.3,86.4,75.0,60.0
Czech Republic,2020,74.8,76.8,64.2,49.9,82.0,52.7,97.8,69.7,77.6,80.8,86.4,80.0,80.0
Democratic Republic of Congo,2020,49.5,30.1,13.1,26.5,74.4,95.4,98.0,51.2,41.6,49.6,64.6,30.0,20.0
Denmark,2020,78.3,86.3,93.0,84.6,42.0,19.7,97.7,88.7,86.2,84.6,86.4,90.0,80.0
Djibouti,2020,52.9,58.8,25.5,31.7,75.3,53.6,10.9,62.3,60.6,76.5,49.8,80.0,50.0
Dominica,2020,60.8,59.8,51.2,62.6,70.5,16.0,86.2,70.4,60.7,83.5,68.4,70.0,30.0
Dominican Republic,2020,60.9,55.8,31.2,18.2,84.5,90.5,82.4,50.3,57.5,73.5,76.6,70.0,40.0
Ecuador,2020,51.3,40.4,33.4,20.7,77.5,57.9,62.3,53.8,48.0,81.0,66.0,35.0,40.0
Egypt,2020,54.0,48.5,34.0,51.2,86.1,69.9,2.8,62.0,51.5,61.3,70.2,60.0,50.0
El Salvador,2020,61.6,41.6,31.6,30.1,77.8,82.8,80.0,53.6,52.3,78.6,80.8,70.0,60.0
Equatorial Guinea,2020,48.3,38.1,15.1,19.5,75.1,86.4,77.2,37.5,34.2,78.1,48.8,40.0,30.0
Eritrea,2020,38.5,32.5,21.4,14.3,81.4,74.7,0.0,18.2,69.7,61.0,69.2,0.0,20.0
Estonia,2020,77.7,83.2,85.9,73.7,81.1,53.3,99.9,73.5,57.3,78.6,86.4,90.0,70.0
